Was ist ein IPv4-Paket und welche Aufgabe hat der IPv4-Header? Welche grundlegenden Informationen muss ein Rechner aus dem Header erkennen können, damit er das Paket verarbeiten bzw. weiterleiten kann?	Ein IPv4-Paket besteht aus einem Header und den eigentlichen Nutzdaten. Der IPv4-Header enthält Steuer- und Adressinformationen für die Verarbeitung des Pakets. Dazu gehören unter anderem Version, Headerlänge, Gesamtlänge, Fragmentierungsinformationen, TTL, Transportprotokoll sowie Quell- und Zieladresse. Dadurch kann ein Gerät erkennen, wie das Paket aufgebaut ist, wie groß es ist, wie es behandelt werden soll und für welches Ziel es bestimmt ist.
Wie ist der IPv4-Header grundsätzlich aufgebaut? Welche wichtigen Felder enthält er und welchen Zweck haben Version, IHL, Total Length, Identification/Flags/Fragment Offset, TTL, Protocol, Source Address und Destination Address?	Der IPv4-Header enthält verschiedene Felder für die Verarbeitung eines IP-Pakets: Version gibt die IP-Version an; IHL gibt die Headerlänge an; Total Length beschreibt die gesamte Größe des IPv4-Pakets; Identification, Flags und Fragment Offset gehören zur Fragmentierung; TTL begrenzt die Lebensdauer des Pakets; Protocol gibt an, welches Protokoll die Nutzdaten verarbeitet, z. B. TCP, UDP oder ICMP; Source Address und Destination Address geben Sender und Empfänger des IP-Pakets an.
Warum sind Source Address und Destination Address im IPv4-Header notwendig? Was ist der Unterschied zwischen diesen IP-Adressen und den MAC-Adressen eines Ethernet-Frames?	Die IP-Adressen identifizieren Quelle und Ziel auf der IP-Ebene und ermöglichen die logische Kommunikation über mehrere Netzwerke hinweg. MAC-Adressen gehören dagegen zur Ethernet-Ebene und werden für die Zustellung innerhalb des jeweiligen lokalen Ethernet-Netzes verwendet. IP und Ethernet arbeiten damit auf unterschiedlichen Ebenen und erfüllen unterschiedliche Aufgaben.
Welche Rolle spielt Ethernet bei der Übertragung eines IPv4-Pakets? Wie hängen Ethernet-Frame und IPv4-Paket zusammen?	IPv4 kann seine Pakete über Ethernet übertragen. Dabei wird das IPv4-Paket als Nutzlast eines Ethernet-Frames transportiert. Der Ethernet-Frame enthält unter anderem MAC-Adressen und ein EtherType-Feld, über das erkannt werden kann, welches Protokoll in der Nutzlast enthalten ist. Für IPv4 wird EtherType 0x0800 verwendet.
Was bedeutet Big-Endian bzw. Network Byte Order und warum ist das beim Auslesen eines IPv4-Headers wichtig?	Bei Big-Endian steht das höchstwertige Byte einer mehrbyteigen Zahl zuerst. Netzwerkprotokolle verwenden für mehrbyteige Zahlen die Network Byte Order, die Big-Endian entspricht. Ein Rechner muss deshalb beim Interpretieren von Feldern wie Total Length oder Identification berücksichtigen, in welcher Byte-Reihenfolge die Bytes im Netzwerk übertragen wurden.
Wie kann man aus einzelnen Bytes mehrbyteige Werte rekonstruieren? Was muss man dabei bezüglich Byte-Reihenfolge und Bitverschiebungen beachten?	Mehrere Bytes können durch Verschieben und Verknüpfen zu einem größeren Integer zusammengesetzt werden. Bei Big-Endian wird das erste Byte zum höchstwertigen Teil des Wertes. Beispielsweise wird aus vier Bytes b3, b2, b1, b0 der Wert (b3 << 24) | (b2 << 16) | (b1 << 8) | b0. Entscheidend ist, die Position jedes Bytes und die verwendete Byte-Reihenfolge korrekt zu berücksichtigen.
Welche Informationen kann man aus einzelnen Bits eines IPv4-Headers gewinnen? Wie funktionieren dabei Bitmasken und Bitverschiebungen grundsätzlich?	Bitfelder können mehrere Informationen innerhalb eines Bytes oder einer größeren Zahl speichern. Eine Bitmaske wählt bestimmte Bits aus, indem sie mit AND verknüpft wird. Eine Bitverschiebung verschiebt die ausgewählten Bits an die gewünschte Position. So können beispielsweise Version und IHL aus dem ersten IPv4-Header-Byte getrennt werden, obwohl beide Informationen im selben Byte gespeichert sind.
Welche Aufgabe haben TTL und Protocol im IPv4-Header? Warum sind beide für die Verarbeitung eines Pakets relevant?	TTL begrenzt, wie lange ein IPv4-Paket im Netzwerk weitergeleitet werden darf. Bei Weiterleitung wird der Wert reduziert; dadurch können Pakete nicht unbegrenzt durch das Netzwerk zirkulieren. Protocol beschreibt dagegen, welches Protokoll für die Nutzdaten zuständig ist, beispielsweise TCP, UDP oder ICMP. TTL betrifft damit die Lebensdauer des Pakets, Protocol die Interpretation seiner Nutzdaten.
Was bedeuten Identification, Flags und Fragment Offset im IPv4-Header? Wie hängen diese drei Felder bei der Fragmentierung zusammen?	Sie enthalten Informationen, mit denen fragmentierte IPv4-Pakete zugeordnet und wieder zusammengesetzt werden können. Identification kennzeichnet zusammengehörige Fragmente. Flags enthalten Steuerinformationen zur Fragmentierung, während Fragment Offset angibt, an welcher Position die Nutzdaten eines Fragments innerhalb des ursprünglichen Pakets liegen. Die drei Felder bilden daher gemeinsam die Grundlage für die Behandlung von IPv4-Fragmenten.
Warum muss ein IPv4-Parser zwischen Headerfeldern, Bitfeldern und Nutzdaten unterscheiden? Was würde passieren, wenn die Headerlänge falsch interpretiert wird?	Der Parser muss wissen, welche Bytes zu welchem Headerfeld gehören und wo der IPv4-Header endet. Die IHL gibt die Headerlänge in 32-Bit-Worten an und bestimmt damit die Position der Nutzdaten. Wird sie falsch interpretiert, können nachfolgende Bytes als falsche Headerfelder oder Nutzdaten gelesen werden. Ein Parser muss deshalb zuerst die Struktur des Headers korrekt bestimmen, bevor er die folgenden Daten interpretiert.
